xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =   -7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.016140
Cy    =    0.000000
Cd    =    0.019784     ICd   =    0.001857     PCd   =    0.017927
Cl   = -1.80217e-15
Cm   =    0.249301
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    4.079263     YCP   =   -0.000000     ZCP   =    2.278465  
XNP   =    0.000000
Bending =    6.745672

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
    0.7232     0.1250     2.786   -0.392632    0.012885    0.019108    3.467919   -0.014953     1.0000    0.7734    0.2118   -0.0007
    0.7382     0.1250     2.990   -0.278992    0.013448    0.014572    2.479919   -0.013635     1.0000    0.9126    0.2010   -0.0001
    0.7457     0.1250     3.115   -0.163558    0.013835    0.008900    1.478813   -0.009004     1.0000    0.9610    0.1948    0.0000


Vertical Stabilizer (XFLR5)
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.3989     0.1254     0.000    0.000000    0.013412   -0.000000    0.058266    0.000000     1.0000    0.9985   -0.2193    0.0000
   -0.3948     0.1269     0.000    0.000000    0.013351   -0.000000    0.056880    0.000000     1.0000    0.9985    0.0427    0.0000
   -0.3868     0.1299     0.000    0.000000    0.013230   -0.000000    0.054244    0.000000     1.0000    0.9987    0.1596    0.0000
   -0.3750     0.1343     0.000    0.000000    0.013052   -0.000000    0.050598    0.000000     1.0000    0.9989    0.2079    0.0000
   -0.3596     0.1401     0.000    0.000000    0.012820   -0.000000    0.046244    0.000000     1.0000    0.9991    0.2297    0.0000
   -0.3410     0.1471     0.000    0.000000    0.012539   -0.000000    0.041492    0.000000     1.0000    0.9994    0.2365    0.0000
   -0.3195     0.1551     0.000    0.000000    0.012215   -0.000000    0.036624    0.000000     1.0000    0.9998    0.2417    0.0000
   -0.2955     0.1641     0.000    0.000000    0.011906   -0.000000    0.032006    0.000000     1.0000    1.0000    0.2421    0.0000
   -0.2696     0.1738     0.000    0.000000    0.011670   -0.000000    0.027881    0.000000     1.0000    1.0000    0.2416    0.0000
