xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.800900
Cy    =   -0.000000
Cd    =    0.021557     ICd   =    0.008913     PCd   =    0.012644
Cl   = -8.27946e-14
Cm   =   -0.553993
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.062780     YCP   =    0.000000     ZCP   =    0.012815  
XNP   =    0.000000
Bending =   71.243434

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   9       1.018e-02      -2.978e+00       8.211e-02          -0.055           0.033           0.998       1.979e-04          0.5758
  10       2.514e-03      -2.978e+00       8.159e-02          -0.178           0.033           0.984       6.880e-05          0.3241
Strip 2
  11       1.574e-01      -2.936e+00       6.603e-02           0.212           0.024           0.977       2.091e-04          0.2012
  12       1.527e-01      -2.936e+00       6.702e-02           0.197           0.025           0.980       6.084e-04          0.2993
  13       1.420e-01      -2.936e+00       6.907e-02           0.173           0.027           0.985       9.546e-04          0.3646
  14       1.262e-01      -2.936e+00       7.173e-02           0.152           0.028           0.988       1.222e-03          0.4359
  15       1.066e-01      -2.936e+00       7.459e-02           0.125           0.030           0.992       1.388e-03          0.4931
  16       8.482e-02      -2.936e+00       7.717e-02           0.095           0.031           0.995       1.442e-03          0.5348
  17       6.255e-02      -2.936e+00       7.913e-02           0.066           0.032           0.997       1.380e-03          0.5818
  18       4.163e-02      -2.936e+00       8.036e-02           0.036           0.032           0.999       1.208e-03          0.6529
  19       2.376e-02      -2.936e+00       8.086e-02          -0.003           0.033           0.999       9.401e-04          0.7457
  20       1.037e-02      -2.936e+00       8.070e-02          -0.055           0.033           0.998       5.973e-04          0.9092
  21       2.561e-03      -2.936e+00       8.017e-02          -0.178           0.033           0.984       2.076e-04          1.0204
Strip 3
  22       1.632e-01      -2.852e+00       6.273e-02           0.212           0.024           0.977       3.519e-04          0.2243
  23       1.583e-01      -2.852e+00       6.376e-02           0.197           0.025           0.980       1.024e-03          0.3412
  24       1.472e-01      -2.852e+00       6.589e-02           0.173           0.027           0.985       1.607e-03          0.4285
  25       1.308e-01      -2.852e+00       6.865e-02           0.152           0.028           0.988       2.057e-03          0.5221
  26       1.105e-01      -2.852e+00       7.161e-02           0.125           0.030           0.992       2.337e-03          0.6001
  27       8.791e-02      -2.852e+00       7.428e-02           0.095           0.031           0.995       2.427e-03          0.6597
  28       6.483e-02      -2.852e+00       7.631e-02           0.066           0.032           0.997       2.323e-03          0.7229
  29       4.315e-02      -2.852e+00       7.759e-02           0.036           0.032           0.999       2.034e-03          0.8136
  30       2.462e-02      -2.852e+00       7.811e-02          -0.003           0.033           0.999       1.582e-03          0.9428
  31       1.075e-02      -2.852e+00       7.794e-02          -0.055           0.033           0.998       1.005e-03          1.2015
  32       2.655e-03      -2.852e+00       7.739e-02          -0.178           0.033           0.984       3.494e-04          1.6758
Strip 4
  33       1.715e-01      -2.731e+00       5.795e-02           0.212           0.024           0.977       4.978e-04          0.2360
  34       1.663e-01      -2.731e+00       5.903e-02           0.197           0.025           0.980       1.448e-03          0.3621
  35       1.547e-01      -2.731e+00       6.126e-02           0.173           0.027           0.985       2.273e-03          0.4600
  36       1.375e-01      -2.731e+00       6.416e-02           0.152           0.028           0.988       2.909e-03          0.5645
  37       1.162e-01      -2.731e+00       6.728e-02           0.125           0.030           0.992       3.305e-03          0.6533
  38       9.240e-02      -2.731e+00       7.008e-02           0.095           0.031           0.995       3.433e-03          0.7239
  39       6.814e-02      -2.731e+00       7.222e-02           0.066           0.032           0.997       3.286e-03          0.7991
  40       4.535e-02      -2.730e+00       7.357e-02           0.036           0.032           0.999       2.877e-03          0.9061
  41       2.588e-02      -2.730e+00       7.411e-02          -0.003           0.033           0.999       2.238e-03          1.0636
  42       1.130e-02      -2.730e+00       7.393e-02          -0.055           0.033           0.998       1.422e-03          1.3895
  43       2.790e-03      -2.730e+00       7.335e-02          -0.178           0.033           0.984       4.943e-04          2.1061
Strip 5
  44       1.821e-01      -2.576e+00       5.186e-02           0.212           0.024           0.977       6.441e-04          0.2418
  45       1.766e-01      -2.576e+00       5.300e-02           0.197           0.025           0.980       1.874e-03          0.3723
  46       1.643e-01      -2.576e+00       5.538e-02           0.173           0.027           0.985       2.940e-03          0.4753
  47       1.460e-01      -2.576e+00       5.846e-02           0.152           0.028           0.988       3.764e-03          0.5851
  48       1.233e-01      -2.576e+00       6.177e-02           0.125           0.030           0.992       4.277e-03          0.6796
  49       9.812e-02      -2.576e+00       6.475e-02           0.095           0.031           0.995       4.442e-03          0.7562
  50       7.236e-02      -2.576e+00       6.702e-02           0.066           0.032           0.997       4.252e-03          0.8385
  51       4.816e-02      -2.576e+00       6.844e-02           0.036           0.032           0.999       3.722e-03          0.9554
  52       2.748e-02      -2.576e+00       6.902e-02          -0.003           0.033           0.999       2.896e-03          1.1301
  53       1.200e-02      -2.576e+00       6.883e-02          -0.055           0.033           0.998       1.840e-03          1.4953
  54       2.963e-03      -2.576e+00       6.822e-02          -0.178           0.033           0.984       6.395e-04          2.3507
Strip 6
  55       1.946e-01      -2.395e+00       4.470e-02           0.212           0.024           0.977       7.851e-04          0.2445
  56       1.887e-01      -2.395e+00       4.592e-02           0.197           0.025           0.980       2.284e-03          0.3772
  57       1.755e-01      -2.394e+00       4.846e-02           0.173           0.027           0.985       3.584e-03          0.4827
  58       1.560e-01      -2.394e+00       5.175e-02           0.152           0.028           0.988       4.588e-03          0.5951
  59       1.318e-01      -2.394e+00       5.528e-02           0.125           0.030           0.992       5.213e-03          0.6924
  60       1.048e-01      -2.394e+00       5.847e-02           0.095           0.031           0.995       5.415e-03          0.7721
  61       7.731e-02      -2.394e+00       6.089e-02           0.066           0.032           0.997       5.183e-03          0.8583
  62       5.146e-02      -2.394e+00       6.242e-02           0.036           0.032           0.999       4.538e-03          0.9806
  63       2.936e-02      -2.394e+00       6.303e-02          -0.003           0.033           0.999       3.530e-03          1.1646
  64       1.282e-02      -2.394e+00       6.284e-02          -0.055           0.033           0.998       2.243e-03          1.5508
  65       3.166e-03      -2.394e+00       6.218e-02          -0.178           0.033           0.984       7.796e-04          2.4796
Strip 7
  66       2.084e-01      -2.193e+00       3.674e-02           0.212           0.024           0.977       9.126e-04          0.2458
