xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.283901
Cy    =   -0.000000
Cd    =    0.051101     ICd   =    0.022148     PCd   =    0.028954
Cl   = -1.31251e-13
Cm   =    -1.04922
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.093205     YCP   =    0.000000     ZCP   =    0.029951  
XNP   =    0.000000
Bending =  109.061761

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.0245     0.1250    -0.922    0.096715    0.013871    0.001557   -0.875657   -0.000799     0.9775    1.0000    0.2582    0.2331
   -0.0095     0.1250    -0.922    0.096728    0.013871    0.001557   -0.875788   -0.000799     0.9774    1.0000    0.2582    0.2437
   -0.0019     0.1250    -0.922    0.096730    0.013871    0.001557   -0.875806   -0.000799     0.9774    1.0000    0.2582    0.2492
    0.0019     0.1250    -0.922    0.096730    0.013871    0.001557   -0.875806   -0.000799     0.9774    1.0000    0.2582    0.2492
    0.0095     0.1250    -0.922    0.096728    0.013871    0.001557   -0.875788   -0.000799     0.9774    1.0000    0.2582    0.2437
    0.0245     0.1250    -0.922    0.096715    0.013871    0.001557   -0.875657   -0.000799     0.9775    1.0000    0.2582    0.2331
    0.0466     0.1250    -0.923    0.096671    0.013871    0.001557   -0.875247   -0.000798     0.9775    1.0000    0.2582    0.2178
    0.0753     0.1250    -0.923    0.096573    0.013871    0.001556   -0.874328   -0.000796     0.9775    1.0000    0.2582    0.1988
    0.1102     0.1250    -0.925    0.096393    0.013871    0.001556   -0.872628   -0.000794     0.9775    1.0000    0.2582    0.1769
    0.1504     0.1250    -0.927    0.096097    0.013871    0.001555   -0.869842   -0.000789     0.9776    1.0000    0.2582    0.1534
    0.1951     0.1250    -0.930    0.095652    0.013872    0.001553   -0.865647   -0.000782     0.9777    1.0000    0.2581    0.1292
    0.2435     0.1250    -0.935    0.095020    0.013872    0.001551   -0.859701   -0.000771     0.9779    1.0000    0.2581    0.1055
    0.2946     0.1250    -0.941    0.094164    0.013872    0.001547   -0.851629   -0.000754     0.9781    1.0000    0.2580    0.0832
    0.3472     0.1250    -0.950    0.093034    0.013873    0.001543   -0.840982   -0.000729     0.9784    1.0000    0.2578    0.0632
    0.4004     0.1250    -0.961    0.091568    0.013874    0.001536   -0.827166   -0.000690     0.9787    1.0000    0.2575    0.0458
    0.4531     0.1250    -0.975    0.089676    0.013875    0.001526   -0.809320   -0.000632     0.9792    1.0000    0.2570    0.0316
    0.5041     0.1250    -0.993    0.087222    0.013876    0.001511   -0.786154   -0.000545     0.9798    1.0000    0.2562    0.0205
    0.5525     0.1250    -1.015    0.084005    0.013878    0.001488   -0.755781   -0.000413     0.9806    1.0000    0.2549    0.0123
    0.5973     0.1250    -1.042    0.079752    0.013881    0.001450   -0.715607   -0.000219     0.9816    1.0000    0.2527    0.0067
    0.6375     0.1250    -1.073    0.074122    0.013866    0.001389   -0.662446    0.000053     0.9829    1.0000    0.2493    0.0032
    0.6723     0.1250    -1.109    0.066751    0.013823    0.001292   -0.592910    0.000403     0.9844    1.0000    0.2439    0.0013
    0.7011     0.1250    -1.145    0.057356    0.013768    0.001146   -0.504359    0.000778     0.9864    1.0000    0.2364    0.0004
    0.7232     0.1250    -1.177    0.045889    0.013701    0.000943   -0.396457    0.001050     0.9888    1.0000    0.2271    0.0001
    0.7382     0.1250    -1.204    0.032695    0.013623    0.000687   -0.272623    0.001051     0.9916    1.0000    0.2179    0.0000
    0.7457     0.1250    -1.221    0.019192    0.013541    0.000409   -0.146220    0.000719     0.9944    1.0000    0.2126    0.0000


Vertical Stabilizer (XFLR5)
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.3989     0.1254     0.000    0.000000    0.013412   -0.000000    0.032938    0.000000     1.0000    0.9985   -0.0782    0.0000
   -0.3948     0.1269     0.000    0.000000    0.013351   -0.000000    0.031974    0.000000     1.0000    0.9985    0.1239    0.0000
   -0.3868     0.1299     0.000    0.000000    0.013230   -0.000000    0.030142    0.000000     1.0000    0.9987    0.1922    0.0000
   -0.3750     0.1343     0.000    0.000000    0.013052   -0.000000    0.027618    0.000000     1.0000    0.9989    0.2223    0.0000
   -0.3596     0.1401     0.000    0.000000    0.012820   -0.000000    0.024616    0.000000     1.0000    0.9991    0.2366    0.0000
   -0.3410     0.1471     0.000    0.000000    0.012539   -0.000000    0.021360    0.000000     1.0000    0.9994    0.2431    0.0000
   -0.3195     0.1551     0.000    0.000000    0.012215   -0.000000    0.018049    0.000000     1.0000    0.9998    0.2454    0.0000
   -0.2955     0.1641     0.000    0.000000    0.011906   -0.000000    0.014910    0.000000     1.0000    1.0000    0.2455    0.0000
   -0.2696     0.1738     0.000    0.000000    0.011670   -0.000000    0.012078    0.000000     1.0000    1.0000    0.2445    0.0000
   -0.2423     0.1841     0.000    0.000000    0.011436   -0.000000    0.009496    0.000000     1.0000    1.0000    0.2428    0.0000
   -0.2142     0.1946     0.000    0.000000    0.011221   -0.000000    0.007203    0.000000     1.0000    1.0000    0.2404    0.0000
   -0.1857     0.2053     0.000    0.000000    0.011021   -0.000000    0.005194    0.000000     1.0000    1.0000    0.2376    0.0000
   -0.1576     0.2158     0.000    0.000000    0.010810   -0.000000    0.003447    0.000000     0.9970    0.9970    0.2343    0.0000
   -0.1302     0.2261     0.000    0.000000    0.010570   -0.000000    0.001953    0.000000     0.9903    0.9903    0.2302    0.0000
   -0.1044     0.2358     0.000    0.000000    0.010321   -0.000000    0.000706    0.000000     0.9838    0.9838    0.2255    0.0000
   -0.0804     0.2447     0.000    0.000000    0.010103   -0.000000   -0.000313    0.000000     0.9792    0.9792    0.2199   -0.0000
   -0.0589     0.2528     0.000    0.000000    0.009891   -0.000000   -0.001130    0.000000     0.9744    0.9744    0.2139   -0.0000
   -0.0403     0.2598     0.000    0.000000    0.009711   -0.000000   -0.001770    0.000000     0.9708    0.9707    0.2073   -0.0000
   -0.0249     0.2656     0.000    0.000000    0.009565   -0.000000   -0.002255    0.000000     0.9682    0.9682    0.2007   -0.0000
